,ra,dec,mag
775,57.216017,22.8941,15.1
776,57.19208,25.129,15.3
777,312.25662,42.34714,15.9
778,83.584754,-4.982347,14.5
779,82.5285,-6.96989,16.4
780,83.72,-5.75,50.0
781,185.954079,24.132219,12.5
782,58.52933,22.89692,16.0
783,83.04183,-6.48692,13.5
784,84.1346,-4.4536,14.9
785,83.618833,-5.416081,12.085
786,176.935021,0.804567,8.184
787,83.94508,-4.30911,15.2
788,37.664954,61.007067,10.97
789,55.1813,22.2519,20.5
790,57.40325,23.48542,12.8
791,306.84754,41.322,15.0
792,55.97446,25.47506,15.2
793,66.2546,24.3019,14.3
794,82.00575,-6.89322,13.9
795,56.20904,24.91111,12.0
796,83.47817,-4.27422,13.0
797,168.9751371,55.3307309,9.6
798,149.82833,43.84044,10.7
799,56.647175,23.411778,12.85
800,55.49521,26.20597,14.32
801,83.12546,-3.99125,16.1
802,56.99771,24.50592,15.0
803,67.73229,24.83817,16.21
804,82.857929,-5.087747,16.0
805,313.75108,43.08117,14.3
806,318.01271,53.12828,16.0
807,56.07942,24.58847,15.1
808,61.32754,16.56853,13.6
809,56.630471,22.305523,13.6
810,84.829437,-6.921211,12.13
811,58.48863,23.34533,12.48
812,68.71175,22.30739,14.5
813,83.6746,-4.8061,14.2
814,313.94567,43.70486,16.6
815,354.73204,21.02272,11.0
816,58.12879,24.54436,13.978
817,85.71571,-5.31903,14.7
818,83.642729,-6.036033,14.45
819,83.8721,-7.1711,22.0
820,307.968621,43.181714,16.3
821,55.382933,35.114781,14.102
822,43.651358,28.237056,14.579
823,313.27938,42.62406,15.4
824,83.70346,-5.38833,13.032
825,58.75413,24.45831,14.1
826,58.12967,25.49444,15.1
827,83.891371,-6.242433,14.58
828,82.9398029,-4.2725681,10.2
829,83.62021,-5.78717,14.4
830,206.24304,77.26428,18.6
831,83.95571,-5.49433,15.2
832,339.927583,30.674533,50.0
833,315.87196,42.24889,16.4
834,206.85585,-15.9817,19.6
835,57.17071,23.23825,13.7
836,59.07929,23.93125,15.0
837,315.88875,41.19111,16.2
838,273.185,-33.4367,16.28
839,66.61817,26.60358,15.7
840,56.4142,23.754283,10.83
841,56.38721,24.30325,12.02
842,56.5229,23.2781,17.7
843,58.87083,23.77244,12.455
844,56.41267,25.22442,13.025
845,22.263554,33.505111,14.578
846,348.32073467,57.1683562,4.23
847,84.6254,-6.215,16.0
848,84.0295,-6.95369,15.3
849,55.33058,23.86172,14.7
850,55.7513,25.8408,18.77
851,69.552331,28.216698,12.249
852,57.58692,23.32372,16.4
853,55.46058,22.92158,21.0
854,84.95767,-4.92019,15.3
855,130.18908,-54.63161,17.5
856,129.1142,19.5925,16.1
