C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
169 |V* V2052 Cyg                 |Fl*|315.24854 +42.99681        |13.7  |15.900|     ~|13.300|     ~|~              |   2|   0
170 |V* V669 Mon                  |Fl*|100.29296 +09.36375        |     ~|18.186|16.81 |15.72 |14.44 |~              |   9|   0
171 |V* V922 Tau                  |Fl*|067.31987 +23.06189        |     ~|14.6  |     ~|13.600|     ~|~              |   4|   0
172 |V* V747 Ori                  |Fl*|083.6058 -04.5519          |     ~|15.4  |     ~|     ~|     ~|~              |   2|   0
173 |V* V790 Ori                  |Fl*|083.786246 -06.084014      |15.0  |15.20 |13.88 |     ~|12.49 |K2.4           |  12|   0
174 |V* V787 Ori                  |Fl*|083.755683 -05.931881      |15.86 |16.00 |14.90 |15.700|13.02 |M0             |  13|   0
175 |HPRA 22                      |Fl*|083.45 -05.52              |     ~|     ~|14.8  |     ~|     ~|K5             |   2|   0
176 |V* V932 Ori                  |Fl*|083.5962 -04.5992          |     ~|15.3  |16.13 |     ~|     ~|~              |   2|   0
177 |V* HO Com                    |Fl*|184.879 +25.223            |     ~|16.2  |     ~|     ~|     ~|~              |   3|   0
178 |LP 229-30                    |Fl*|280.842225 +40.672492      |     ~|19.2  |18.23 |16.6  |13.8  |M7.5Ve         |  46|   0
179 |V* OY Tau                    |Fl*|056.545237 +23.621789      |     ~|15.8  |     ~|14.900|     ~|~              |  12|   0
180 |MASTER OT J012838.97+053004.6|Fl*|022.162237 +05.501314      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
181 |V* V440 Tau                  |Fl*|056.29504 +23.04956        |     ~|18    |17.81 |     ~|15.35 |~              |  10|   0
182 |V* V698 Ori                  |Fl*|083.03696 -07.05392        |     ~|14.1  |     ~|13.900|     ~|~              |   7|   0
183 |V* V1263 Ori                 |Fl*|082.34392 -07.39492        |14.0  |16.000|     ~|13.700|     ~|~              |   2|   0
